"code","oop_poorest","oop_poorer","oop_middle","oop_richer","oop_richest"
"AFG",0.4894,0.3019,0.2373,0.2077,0.2527
"AFG",0.4896,0.2998,0.2423,0.2285,0.2492
"AFG",0.4778,0.3032,0.2488,0.209,0.2217
"AFG",0.4685,0.2874,0.2425,0.2007,0.2269
"AFG",0.4819,0.2923,0.2359,0.2032,0.2538
"AFG",0.4764,0.3096,0.2427,0.2251,0.2298
"AFG",0.4764,0.2855,0.225,0.2069,0.2271
"AFG",0.4776,0.2799,0.2394,0.2145,0.2345
"AFG",0.4758,0.2918,0.2348,0.1992,0.2307
"AFG",0.4807,0.3052,0.2403,0.2118,0.2314
"AFG",0.4772,0.3057,0.2402,0.209,0.2381
"AFG",0.4836,0.2946,0.2338,0.207,0.2463
"AFG",0.4932,0.2985,0.2531,0.2186,0.2475
"AFG",0.4752,0.2911,0.2428,0.2082,0.2356
"AFG",0.4845,0.2973,0.2426,0.2095,0.2317
"AFG",0.4927,0.3075,0.253,0.2128,0.246
"AFG",0.5049,0.3155,0.2587,0.2158,0.2399
"AFG",0.4945,0.3015,0.2438,0.2255,0.234
"AFG",0.4673,0.307,0.2362,0.1984,0.2284
"AFG",0.4823,0.3039,0.2472,0.2024,0.242
"AFG",0.4803,0.2819,0.2286,0.202,0.2225
"AFG",0.4834,0.2903,0.2435,0.2041,0.2323
"AFG",0.4673,0.2793,0.23,0.2006,0.2194
"AFG",0.475,0.2872,0.2347,0.2029,0.2313
"AFG",0.485,0.3013,0.2427,0.2051,0.2371
"AFG",0.4731,0.2792,0.2253,0.2026,0.2247
"AFG",0.4829,0.2827,0.2395,0.2022,0.2326
"AFG",0.4925,0.304,0.2446,0.2118,0.2405
"AFG",0.4794,0.2942,0.2324,0.2077,0.2281
"AFG",0.4815,0.294,0.2461,0.213,0.2384
"AFG",0.4778,0.3053,0.2386,0.218,0.2407
"AFG",0.4907,0.3092,0.243,0.2126,0.2418
"AFG",0.4795,0.3158,0.2459,0.2113,0.2425
"AFG",0.4746,0.2974,0.2334,0.1998,0.2285
"AFG",0.4936,0.3091,0.2533,0.2181,0.243
"AFG",0.4589,0.298,0.2408,0.2049,0.2145
"AFG",0.4788,0.2889,0.2253,0.1998,0.2259
"AFG",0.4975,0.2873,0.2392,0.2088,0.2469
"AFG",0.4753,0.2979,0.2364,0.1963,0.2424
"AFG",0.4714,0.2881,0.2373,0.2145,0.2354
"AFG",0.4835,0.2944,0.2433,0.2029,0.2228
"AFG",0.4612,0.2968,0.2285,0.2075,0.2105
"AFG",0.4902,0.2904,0.243,0.2121,0.2293
"AFG",0.4818,0.3027,0.2394,0.2155,0.2355
"AFG",0.4954,0.3106,0.2452,0.2277,0.2474
"AFG",0.4838,0.2977,0.2467,0.2211,0.2287
"AFG",0.4632,0.2918,0.2287,0.2034,0.2124
"AFG",0.4775,0.3037,0.2366,0.2081,0.2395
"AFG",0.4722,0.2912,0.2368,0.1996,0.2262
"AFG",0.4792,0.2818,0.2333,0.2013,0.2231
"AFG",0.4697,0.3137,0.2296,0.1966,0.2207
"AFG",0.4936,0.2857,0.2417,0.2194,0.2366
"AFG",0.48,0.3018,0.2505,0.215,0.2449
"AFG",0.481,0.2996,0.2372,0.2076,0.233
"AFG",0.4859,0.2961,0.2327,0.2217,0.2377
"AFG",0.4843,0.3039,0.2363,0.2255,0.2377
"AFG",0.4658,0.2819,0.2209,0.1986,0.2282
"AFG",0.4762,0.3024,0.2315,0.2123,0.2261
"AFG",0.4963,0.3057,0.2539,0.2223,0.2375
"AFG",0.4744,0.2957,0.222,0.2052,0.2325
"AFG",0.4715,0.2832,0.2376,0.2126,0.2247
"AFG",0.481,0.2837,0.2322,0.1997,0.2387
"AFG",0.4774,0.2988,0.2368,0.2097,0.2236
"AFG",0.4858,0.2822,0.2403,0.2095,0.2353
"AFG",0.4597,0.2849,0.2305,0.2041,0.2291
"AFG",0.4814,0.299,0.245,0.2165,0.2434
"AFG",0.4729,0.281,0.2242,0.2006,0.2281
"AFG",0.4753,0.2954,0.2377,0.2189,0.2456
"AFG",0.4865,0.3077,0.2497,0.2111,0.2382
"AFG",0.4832,0.3111,0.246,0.2025,0.2267
"AFG",0.4754,0.2712,0.2385,0.2048,0.2227
"AFG",0.4758,0.2949,0.2319,0.2122,0.2222
"AFG",0.4892,0.2903,0.2409,0.2141,0.2352
"AFG",0.4842,0.2924,0.2428,0.207,0.2417
"AFG",0.4925,0.2794,0.2409,0.2094,0.236
"AFG",0.4819,0.2849,0.2394,0.2125,0.2327
"AFG",0.4702,0.2762,0.2306,0.201,0.2239
"AFG",0.4706,0.2844,0.2283,0.1956,0.2314
"AFG",0.4702,0.2843,0.2437,0.2135,0.2308
"AFG",0.485,0.2875,0.2499,0.2145,0.2391
"AFG",0.4883,0.2961,0.2371,0.2107,0.2464
"AFG",0.4807,0.2998,0.2417,0.2078,0.2257
"AFG",0.4809,0.2969,0.2361,0.2113,0.238
"AFG",0.4882,0.2898,0.2328,0.1989,0.2484
"AFG",0.4698,0.302,0.2405,0.202,0.2371
"AFG",0.4791,0.2789,0.2404,0.2101,0.2167
"AFG",0.4658,0.2847,0.2301,0.2057,0.226
"AFG",0.4845,0.3006,0.2361,0.216,0.2456
"AFG",0.4752,0.2906,0.2369,0.2094,0.2471
"AFG",0.4827,0.3062,0.2422,0.2129,0.2223
"AFG",0.4956,0.3137,0.2359,0.2118,0.2351
"AFG",0.4817,0.3048,0.2514,0.2196,0.2403
"AFG",0.4705,0.2926,0.2359,0.2008,0.2305
"AFG",0.4792,0.3026,0.2387,0.204,0.2296
"AFG",0.4856,0.2974,0.235,0.2092,0.2505
"AFG",0.4782,0.3068,0.2305,0.212,0.2282
"AFG",0.4805,0.2961,0.244,0.2082,0.227
"AFG",0.4778,0.2791,0.222,0.1988,0.2331
"AFG",0.4875,0.2958,0.239,0.2197,0.2296
"AFG",0.4998,0.3018,0.2454,0.2134,0.2414
"AFG",0.4748,0.2873,0.2383,0.2114,0.229
"AFG",0.4896,0.2944,0.2325,0.2064,0.2333
"AFG",0.485,0.2866,0.2373,0.2113,0.2304
"AFG",0.4773,0.2973,0.2378,0.2069,0.2418
"AFG",0.4747,0.2858,0.2384,0.2095,0.2299
"AFG",0.4781,0.2951,0.2442,0.2147,0.2313
"AFG",0.4857,0.3064,0.2399,0.2127,0.2382
"AFG",0.4765,0.2845,0.2462,0.2026,0.2308
"AFG",0.4866,0.2866,0.2297,0.2103,0.2305
"AFG",0.4873,0.2913,0.2354,0.2066,0.2319
"AFG",0.4788,0.2905,0.2384,0.2149,0.2397
"AFG",0.4819,0.2898,0.2382,0.2033,0.2371
"AFG",0.4842,0.3014,0.2528,0.213,0.2376
"AFG",0.4789,0.3013,0.2462,0.2073,0.2393
"AFG",0.4582,0.2766,0.2183,0.19,0.2221
"AFG",0.4909,0.3005,0.2467,0.2221,0.2399
"AFG",0.4758,0.286,0.2403,0.2072,0.2357
"AFG",0.4717,0.2897,0.2427,0.2107,0.237
"AFG",0.4948,0.3024,0.2453,0.2072,0.2405
"AFG",0.477,0.2948,0.2425,0.2088,0.2349
"AFG",0.4806,0.298,0.2388,0.2098,0.2345
"AFG",0.4766,0.2886,0.239,0.196,0.2306
"AFG",0.4965,0.3087,0.2358,0.2061,0.2319
"AFG",0.4882,0.3094,0.2377,0.2061,0.2346
"AFG",0.4739,0.2909,0.2351,0.1998,0.2335
"AFG",0.5019,0.3158,0.2557,0.2359,0.2604
"AFG",0.4895,0.2978,0.2551,0.2315,0.2328
"AFG",0.4752,0.3067,0.2365,0.2026,0.2353
"AFG",0.4857,0.2981,0.2391,0.2181,0.238
"AFG",0.4729,0.2888,0.2412,0.2046,0.2209
"AFG",0.4701,0.3031,0.2375,0.2023,0.2413
"AFG",0.474,0.2821,0.2315,0.1998,0.2332
"AFG",0.4946,0.2768,0.2321,0.217,0.2261
"AFG",0.4883,0.3017,0.2436,0.216,0.2317
"AFG",0.4724,0.298,0.2418,0.2099,0.2408
"AFG",0.4951,0.3136,0.255,0.2247,0.2481
"AFG",0.4882,0.2964,0.245,0.2149,0.235
"AFG",0.483,0.3058,0.2546,0.2114,0.2289
"AFG",0.4754,0.2915,0.2344,0.214,0.2278
"AFG",0.4847,0.2906,0.245,0.2059,0.2337
"AFG",0.4573,0.2908,0.238,0.2037,0.2262
"AFG",0.4933,0.3093,0.2492,0.2266,0.2428
"AFG",0.4809,0.2921,0.2365,0.1962,0.2303
"AFG",0.4903,0.2989,0.2522,0.212,0.2327
"AFG",0.477,0.2974,0.2401,0.2127,0.2338
"AFG",0.4711,0.2873,0.2386,0.2008,0.2366
"AFG",0.472,0.2808,0.2372,0.2063,0.2395
"AFG",0.4775,0.2897,0.2371,0.2058,0.2407
"AFG",0.4853,0.2997,0.2386,0.2052,0.2423
"AFG",0.4765,0.2963,0.2347,0.2116,0.2317
"AFG",0.4808,0.2882,0.2321,0.2084,0.2377
"AFG",0.4634,0.2921,0.2344,0.2142,0.218
"AFG",0.4793,0.3093,0.2426,0.2095,0.2313
"AFG",0.4786,0.2904,0.2412,0.1988,0.228
"AFG",0.4709,0.2727,0.2379,0.1942,0.2293
"AFG",0.5014,0.3238,0.2462,0.213,0.2512
"AFG",0.4785,0.2926,0.2461,0.2107,0.2459
"AFG",0.4745,0.3039,0.2509,0.2049,0.2399
"AFG",0.4693,0.2789,0.2302,0.2084,0.2263
"AFG",0.4788,0.297,0.2482,0.2163,0.2297
"AFG",0.4732,0.3132,0.2525,0.2061,0.2507
"AFG",0.5028,0.3184,0.257,0.2201,0.2527
"AFG",0.4759,0.289,0.2267,0.1925,0.2244
"AFG",0.473,0.2748,0.2376,0.207,0.2371
"AFG",0.4785,0.2848,0.2369,0.2113,0.2288
"AFG",0.4831,0.2858,0.2394,0.2199,0.2432
"AFG",0.4647,0.3053,0.2318,0.2038,0.2294
"AFG",0.4889,0.2996,0.2472,0.2161,0.2382
"AFG",0.486,0.3022,0.2385,0.2171,0.246
"AFG",0.4778,0.2962,0.2395,0.2002,0.2177
"AFG",0.4934,0.2932,0.251,0.2201,0.2468
"AFG",0.4696,0.2829,0.218,0.193,0.2317
"AFG",0.4806,0.2796,0.2308,0.2103,0.2235
"AFG",0.4782,0.2981,0.249,0.2102,0.238
"AFG",0.4721,0.2968,0.2416,0.206,0.2371
"AFG",0.4724,0.3017,0.2366,0.2071,0.2373
"AFG",0.4825,0.3005,0.2419,0.2178,0.225
"AFG",0.4944,0.3058,0.2553,0.2235,0.2384
"AFG",0.479,0.2993,0.24,0.2127,0.2512
"AFG",0.475,0.2918,0.2332,0.212,0.2291
"AFG",0.4845,0.2988,0.2375,0.2154,0.2336
"AFG",0.4758,0.3031,0.2174,0.196,0.2227
"AFG",0.4891,0.2914,0.236,0.2147,0.2375
"AFG",0.4732,0.2936,0.2274,0.209,0.2242
"AFG",0.4591,0.2764,0.2328,0.2001,0.2211
"AFG",0.4655,0.2867,0.2325,0.2057,0.2279
"AFG",0.4868,0.3062,0.2321,0.2157,0.2394
"AFG",0.493,0.2953,0.2373,0.2107,0.2441
"AFG",0.4961,0.3072,0.2455,0.2197,0.2356
"AFG",0.4761,0.2959,0.2432,0.2186,0.23
"AFG",0.4809,0.3015,0.237,0.2055,0.2264
"AFG",0.475,0.2918,0.2461,0.2054,0.232
"AFG",0.4761,0.2907,0.2363,0.2151,0.2534
"AFG",0.4817,0.3015,0.2438,0.212,0.2172
"AFG",0.4868,0.2969,0.2327,0.2101,0.2265
"AFG",0.4899,0.3011,0.2458,0.2095,0.2228
"AFG",0.4833,0.291,0.2341,0.2048,0.2434
"AFG",0.4824,0.2904,0.2432,0.2122,0.2315
"AFG",0.4782,0.2992,0.2346,0.2071,0.2361
"AFG",0.4727,0.2759,0.2365,0.2112,0.2305
"AGO",0.1634,0.0466,0.0319,0.0238,0.0322
"AGO",0.161,0.0504,0.0369,0.0251,0.0319
"AGO",0.1547,0.0463,0.0332,0.0233,0.033
"AGO",0.1638,0.052,0.0332,0.0241,0.0288
"AGO",0.1642,0.0472,0.0348,0.0256,0.0283
"AGO",0.174,0.0463,0.0358,0.0254,0.0326
"AGO",0.1579,0.0449,0.0382,0.023,0.0299
"AGO",0.1555,0.0508,0.0371,0.027,0.0264
"AGO",0.1542,0.0482,0.0353,0.0255,0.028
"AGO",0.1695,0.0488,0.0356,0.0246,0.0324
