"country","code","region","income","pop","gdp_pc_ppp","poorest_share","poorer_share","middle_share","richer_share","richest_share","cases_richest","cases_richer","cases_middle","cases_poorer","cases_poorest","notif_richest","notif_richer","notif_middle","notif_poorer","notif_poorest","untreated_richest","untreated_richer","untreated_middle","untreated_poorer","untreated_poorest","oop_treated_richest_und","oop_treated_richer_und","oop_treated_middle_und","oop_treated_poorer_und","oop_treated_poorest_und","nm_treated_richest_und","nm_treated_richer_und","nm_treated_middle_und","nm_treated_poorer_und","nm_treated_poorest_und","ind_treated_richest_und","ind_treated_richer_und","ind_treated_middle_und","ind_treated_poorer_und","ind_treated_poorest_und","total_treated_richest_und","total_treated_richer_und","total_treated_middle_und","total_treated_poorer_und","total_treated_poorest_und","oop_untreated_richest_und","oop_untreated_richer_und","oop_untreated_middle_und","oop_untreated_poorer_und","oop_untreated_poorest_und","nm_untreated_richest_und","nm_untreated_richer_und","nm_untreated_middle_und","nm_untreated_poorer_und","nm_untreated_poorest_und","ind_untreated_richest_und","ind_untreated_richer_und","ind_untreated_middle_und","ind_untreated_poorer_und","ind_untreated_poorest_und","total_untreated_richest_und","total_untreated_richer_und","total_untreated_middle_und","total_untreated_poorer_und","total_untreated_poorest_und","oop_richest_und","oop_richer_und","oop_middle_und","oop_poorer_und","oop_poorest_und","nm_richest_und","nm_richer_und","nm_middle_und","nm_poorer_und","nm_poorest_und","ind_richest_und","ind_richer_und","ind_middle_und","ind_poorer_und","ind_poorest_und","total_richest_und","total_richer_und","total_middle_und","total_poorer_und","total_poorest_und","oop_treated_richest_d","oop_treated_richer_d","oop_treated_middle_d","oop_treated_poorer_d","oop_treated_poorest_d","nm_treated_richest_d","nm_treated_richer_d","nm_treated_middle_d","nm_treated_poorer_d","nm_treated_poorest_d","ind_treated_richest_d","ind_treated_richer_d","ind_treated_middle_d","ind_treated_poorer_d","ind_treated_poorest_d","total_treated_richest_d","total_treated_richer_d","total_treated_middle_d","total_treated_poorer_d","total_treated_poorest_d","oop_untreated_richest_d","oop_untreated_richer_d","oop_untreated_middle_d","oop_untreated_poorer_d","oop_untreated_poorest_d","nm_untreated_richest_d","nm_untreated_richer_d","nm_untreated_middle_d","nm_untreated_poorer_d","nm_untreated_poorest_d","ind_untreated_richest_d","ind_untreated_richer_d","ind_untreated_middle_d","ind_untreated_poorer_d","ind_untreated_poorest_d","total_untreated_richest_d","total_untreated_richer_d","total_untreated_middle_d","total_untreated_poorer_d","total_untreated_poorest_d","oop_richest_d","oop_richer_d","oop_middle_d","oop_poorer_d","oop_poorest_d","nm_richest_d","nm_richer_d","nm_middle_d","nm_poorer_d","nm_poorest_d","ind_richest_d","ind_richer_d","ind_middle_d","ind_poorer_d","ind_poorest_d","total_richest_d","total_richer_d","total_middle_d","total_poorer_d","total_poorest_d","cc_treated_richest","cc_treated_richer","cc_treated_middle","cc_treated_poorer","cc_treated_poorest","oop_treated_richest","oop_treated_richer","oop_treated_middle","oop_treated_poorer","oop_treated_poorest","cc_untreated_richest","cc_untreated_richer","cc_untreated_middle","cc_untreated_poorer","cc_untreated_poorest","oop_untreated_richest","oop_untreated_richer","oop_untreated_middle","oop_untreated_poorer","oop_untreated_poorest","cc_richest","cc_richer","cc_middle","cc_poorer","cc_poorest","oop_richest","oop_richer","oop_middle","oop_poorer","oop_poorest"
"Afghanistan","AFG","EMR","LIC",42647492,2201.722907,0.0755,0.118,0.157,0.0021,0.6474,22602.311786227,27265.820078606,32771.839789649,37161.83540306,43827.552578982,17202.481007808,6343.94250622299,6629.26457829401,5967.764004217,5252.06928742304,5399.83077841852,20921.8775723827,26142.575211354,31194.071398843,38575.483291559,22312236.374036,5736004.041475,4205577.114674,3175812.54730698,2925775.255321,30786698.109709,9217541.26265299,7795195.525612,6445189.29091603,4730243.73275402,97655070.8386998,23645429.5775499,13615989.0175439,7405074.39282197,3441571.478311,150754005.32244,38598974.88167,25616761.65783,17026076.2310441,11097590.466386,7087671.84906325,19230510.9412184,16981178.0386532,17041267.752495,22378309.146116,9082283.23967575,28846915.4500994,28967810.35747,31480826.102422,33147153.773877,32154524.4213211,79553411.196765,54094064.835898,39557975.77611,25644621.842315,48324479.5100602,127630837.588083,100043053.232023,88080069.631026,81170084.762309,29399908.223099,24966514.982693,21186755.153328,20217080.299802,25304084.401437,39868981.3493841,38064456.712753,36763005.883082,37926015.393338,37877397.506631,129809595.26001,103198840.77431,67710053.853442,46963050.168931,29086193.320627,199078484.83251,166229812.46976,125659814.88985,105106145.86207,92267675.2286999,11316847.460734,1847147.67457402,1346017.55736101,1014539.2477095,923192.069230109,15665905.670376,3097206.638116,2633989.87994802,2191583.30336499,1589745.34807399,49462798.19017,7603610.16581202,4413974.83782703,2375852.58992198,1109644.66562,76445551.32128,12547964.4785101,8393982.27513599,5581975.14099503,3622582.082923,4327033.23246871,11438227.9924733,9927039.6077348,9742203.91395059,12541652.387703,5553755.92291588,17163757.8158444,16933255.1795573,17993610.340796,18570130.963463,19629073.4912924,47323129.598394,31622513.489813,22620387.138297,14372044.698122,29509862.6466769,75925115.406711,58482808.277104,50356201.393044,45483828.049289,15643880.693202,13285375.667048,11273057.165096,10756743.16166,13464844.456934,21219661.593293,20260964.45396,19567245.059506,20185193.644161,20159876.311536,69091871.6814599,54926739.764205,36036488.327639,24996239.728219,15481689.363743,105955413.96795,88473079.8852201,66876790.55224,55938176.534041,49106410.132212,13758.544381995,5342.55519591697,5768.22713841801,5338.11156685802,4856.71457314302,4032.1745433707,1392.38132049459,1499.37365877769,1631.10702930529,2281.754535382,4317.72217882527,17606.6957965406,22731.989615018,27885.944608189,35669.703676137,1258.6164530298,4569.8993790919,5881.2094740045,8477.9217810507,16720.935275352,18076.266560821,22949.250992458,28500.216753436,33224.056175046,40526.418249279,5290.79099640051,5962.2806995865,7380.58313278201,10109.028810356,19002.689810734
"Angola","AGO","AFR","LMIC",37885849,8347.952791,0.038,0.077,0.126,0.002,0.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","ARG","AMR","UMIC",45696159,30175.53597,0.051,0.096,0.149,0.227,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan","AZE","EUR","UMIC",10202850,25088.95018,0.0801,0.1231,0.1665,0.0022,0.6281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burundi","BDI","AFR","LIC",14047786,949.8346131,0.071,0.11,0.15,0.0021,0.6669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benin","BEN","AFR","LMIC",14462724,4434.564218,0.076,0.119,0.161,0.221,0.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkina Faso","BFA","AFR","LIC",23548781,2896.187416,0.073,0.112,0.151,0.211,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh","BGD","SEAR","LMIC",173562364,9646.769844,0.082,0.122,0.16,0.215,0.421,38925.4245905599,46956.86146655,56439.2611911199,63999.6578805801,75479.2743785502,14530.5056342299,-31544.0952800501,-34060.84183292,-32858.5379153499,-28166.81385478,24394.9189563326,78500.956746605,90500.103024045,96858.1957959359,103646.08823332,1599415.56133398,-2370858.07837901,-1827407.96041179,-1463563.2621209,-1337434.0130629,5634895.11828995,-10221277.972293,-8761547.40637797,-7634174.20740402,-5599276.68766701,6471155.50201499,-9262280.430143,-5472133.47976598,-3273883.955962,-1464878.6910602,13705466.1816399,-21854416.4808202,-16061088.846555,-12371621.425487,-8401589.39179003,2521498.3858056,5904074.5569324,4848989.6640402,4335341.7545294,4925060.2948917,9961574.79038633,25147116.361388,23196961.01565,22426151.692331,20413905.817642,11196640.7436684,23280018.3372959,14682301.533396,9679134.7168314,5419226.35403369,23679713.9198603,54331209.255617,42728252.213087,36440628.163692,30758192.466568,4120913.94714001,3533216.478553,3021581.703628,2871778.49240799,3587626.281829,15596469.908677,14925838.3890949,14435413.609273,14791977.4849271,14814629.1299751,17667796.245684,14017737.907153,9210168.05362999,6405250.76087001,3954347.66297299,37385180.1015,32476792.7748001,26667163.3665299,24069006.738205,22356603.074777,649605.781705096,-1766858.5316921,-1343480.2049797,-1077815.76481511,-983749.348921299,2185824.28661001,-7589954.334463,-6440076.95068201,-5612665.463505,-4109975.51186299,2538572.82753104,-6922207.65382999,-4036496.59583703,-2409745.5808025,-1079101.1307934,5374002.89584601,-16279020.5199851,-11820053.751499,-9100226.80912197,-6172825.991577,1595441.4199822,3691578.39099115,2989573.5250901,2642397.4833466,2938025.4463021,6308266.91320742,15718669.7984277,14302190.3897942,13669417.502835,12178136.175499,7085994.14023778,14558891.1661657,9054426.373114,5899121.4544723,3233283.6454246,14989702.4734274,33969139.3555847,26346190.287998,22210936.440654,18349445.267226,2245047.2016872,1924719.85929909,1646093.32011029,1564581.71853149,1954276.09738061,8494091.19981802,8128715.463965,7862113.43911201,8056752.03933102,8068160.66363704,9624566.96776903,7636683.51233602,5017929.77727601,3489375.873669,2154182.5146312,20363705.3692729,17690118.8356,14526136.536499,13110709.631531,12176619.275648,4310.99287136097,-10001.956584766,-12548.133990433,-15455.5601638759,-18420.268251007,240.280774552903,-474.807216547099,-587.956580773702,-814.573763795401,-2553.04379695001,7227.15986120543,24897.4312996622,33338.553970114,45536.669352313,67758.15027847,418.944078177811,1184.01439122775,1561.708902208,2401.3353192853,9392.94867780298,11538.152732566,14895.4747148959,20790.41997968,30081.10918843,49337.88202746,659.2248527308,709.207174680701,973.752321434302,1586.7615554899,6839.90488085203
"Bolivia","BOL","AMR","LMIC",12413315,11189.80551,0.052,0.1,0.148,0.223,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil","BRA","AMR","UMIC",211998573,22333.41166,0.037,0.078,0.125,0.194,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
